Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Fiji,FJI,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,39.9
Fiji,FJI,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.1
Fiji,FJI,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.3
Fiji,FJI,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.4
Fiji,FJI,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.5
Fiji,FJI,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.5
Fiji,FJI,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.4
Fiji,FJI,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40
Fiji,FJI,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,39.4
Fiji,FJI,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,38.7
Fiji,FJI,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,38
Fiji,FJI,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,37.3
Fiji,FJI,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,36.8
Fiji,FJI,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,36.3
Fiji,FJI,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.5
Fiji,FJI,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.2
Fiji,FJI,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.1
Fiji,FJI,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31
Fiji,FJI,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.8
Fiji,FJI,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.8
Fiji,FJI,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.8
Fiji,FJI,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.9
Fiji,FJI,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.9
Fiji,FJI,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31
Fiji,FJI,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.1
